category,doc_title
health,"st george's hospital  dr nigel kennea trained as a doctor for newborn babies and is now focused on helping the bereaved  when dr nigel kennea talks of the ""unexpectedness and awfulness"" of deaths in his hospital in the past six weeks, he tempers it with a positive focus on helping bereaved families left behind.  as a medical examiner at st george's hospital, in south london, his job is to advise clinical teams on completing death certificates, then support relatives through their grief.  but like so much during this pandemic, none of that is straightforward.  ""the most harrowing thing is knowing that many said goodbye to their loved ones in an ambulance,"" he says.  despite staff ""going above and beyond"" to support patients in desperate times, using mobile phones and ipads to connect seriously ill patients and their families, contact is just not always possible.  even after a patient's death, social distancing has meant grieving relatives are left in limbo.  ""normally, registering a death is done face-to-face with relatives,"" dr kennea says.  ""they come in, talk through the admin and how to plan for after death.  ""now, it's all done on the phone.""  'share the burden'  dr kennea's job is to take an overview of all deaths at the hospital. it's a relatively new role in the uk, introduced last year, which is independent of trusts.  previously he was a specialist in the care of newborn babies.  now, dr kennea discusses each death at the hospital with the doctors and nurses involved in that patient's care, making sure death certificates are completed correctly and consistently.     with covid-19 deaths so closely scrutinised, there is added pressure and ""some are complicated"", he says.  there is still so much doctors are learning about the virus and its effects on people's bodies - such as heart failure, thrombosis, kidney problems and pneumonia.  but, dr kennea says: ""if a test for coronavirus has been carried out and is positive, that goes on the death certificate as it is likely to have contributed to the death.""  and the hospital aims to report these deaths to national bodies on the day they happen.  although those that seem unnatural or have no certain cause must be referred to a coroner.  but the role he is most proud of is supporting bereaved families - talking to them about what is on the certificate, the care the patient received and next steps for the funeral.  ""we share the burden together,"" he says.  'human touch'  these conversations with families are when life stories are told and memories shared. there is often laughter too.  and there is now more demand than ever for hospitals to have good communication skills and show sensitivity towards families.  ""we are better at this than we were six weeks ago,"" dr kennea says.   st george's hospital  dr kennea and the medical examiner team contact families after a death  ""so many people are so grateful for our support.  ""and they often say they appreciated the human touch,"" he says.  st george's hospital had its first covid-19 death on 12 march.  since then, 250 people have died with the illness at the hospital, while more than 600 have recovered and been discharged.  in the worst week, 60 patients died with covid-19.  by turning normal wards into intensive care units and training up staff to work there, this large hospital has coped through all the turmoil.  and it has even been able to take covid-19 patients needing dialysis from other london hospitals.  but there has been immense pressure on front-line staff, kitted out in personal protective equipment day in, day out.  when dr kennea goes into covid-19 areas, he too wears full ppe - but it has its limits when communicating with patients.  ""it's hard to share a smile behind a mask and goggles,"" he says.  'violent tragedy'  now, 60 patients with covid-19 are being ventilated in the hospital's intensive care unit.  at the peak, it was 120.  there is a sense the situation is improving and that is ""really gratifying"", dr kennea says.  yet there is so much from the past few months he will never forget.  he has marvelled at human powers of recovery - sometimes in the most unexpected places, such as among the very elderly.  but at the same time, he has seen younger people whose lives have been cruelly taken.  ""it is just a violent tragedy,"" he says.  ""it is such an exceptional time for lives being snatched away."""
politics,ukip could sue veritas defectors the uk independence party could take legal action to unseat two london assembly members who defected to robert kilroy silk s veritas party.  damian hockney  now veritas deputy leader  and peter hulme-cross were elected in 2004 on the list system. the party argues the pair should give up their seats as they won them as ukip representatives  not as individuals. mr hockney said the law was clear that those elected on a list who quit their party should keep their seats. ukip chairman petrina holdsworth urged the men to step down from the gla in a letter.  she said:  the party has taken legal advice and it is clear that we could take legal proceedings against you which could result in the return of our seats and/or damages against you.  we would however like you to be given an opportunity to reflect on what you have done  to restore your own credibility with the electorate and return the seats to the party which won them fair and square at the last election.  mr hockney said the law worked in exactly the same way for the gla as it did for other electoral list systems.  the greater london act is clear that if someone resigns who was elected on a list  their party whip the seat belongs to them and not the party.  he said mr hulme-cross and himself had no intention of resigning and added that they felt that it was ukip who were not being true to the electorate. he accused the party of signing up to a deal with the tories in europe  rather than sticking to an independent stance. but the claim was denied by ukip spokesman  who said:  mr hockney s accusations are like his sense of political morals - empty.  veritas was formed by mr kilroy-silk earlier this month after he quit ukip following an unsuccessful bid to take over as leader.
politics,talks aim to avert pension strike talks aimed at averting a series of national strikes over pensions reforms will take place this weekend.  five public sector unions will hold private talks with deputy prime minister john prescott at labour s spring conference in gateshead. they want the government to withdraw regulations - due to be introduced in weeks - which would raise the pension age for council workers from 60 to 65. up to 1.4m workers could take part in a strike already earmarked for 23 march. however  all sides are anxious to avoid a major confrontation in the run up to the general election  said bbc labour affairs correspondent stephen cape. in four days  britain s biggest union unison will start balloting 800 000 local government workers on strikes. other public sector unions have pledged to follow. it is just weeks before new regulations are introduced to raise the pension age of local government workers.  the five unions meeting mr prescott want the government to withdraw these regulations. this would allow months of tough negotiations to follow  said our correspondent. but a spokesman for mr prescott warned that the changes to the local government pension scheme would have to go ahead in april. privately ministers believe this will be the  less painful  option  our correspondent added. the public and commercial services union (pcs) will co-ordinate any industrial action with up to six other public sector unions. pcs leader mark serwotka warned last week that there could be further walkouts unless there was a government rethink.  for a government that lectures everyone on choice - choice on public service  choice on this and choice on that - isn t it ironic that they re saying to public sector workers there is no choice   he said.  if you want the pension you were promised when you started you must work for an extra five years - that is working until people drop.  in the 20th century  it s completely unacceptable.   unison s 800 000 workers  the transport and general workers  union s 70 000 and amicus  20 000 are among those being balloted about a 23 march walkout. mr prescott held a private meeting with senior union figures last week. it is understood no deal was offered in that meeting but there was room for further negotiations.
sport,federer claims dubai crown world number one roger federer added the dubai championship trophy to his long list of successes - but not before he was given a test by ivan ljubicic.  top seed federer looked to be on course for a easy victory when he thumped the eighth seed 6-1 in the first set. but ljubicic  who beat tim henman in the last eight  dug deep to secure the second set after a tense tiebreak. swiss star federer was not about to lose his cool  though  turning on the style to win the deciding set 6-3. the match was a re-run of last week s final at the world indoor tournament in rotterdam  where federer triumphed  but not until ljubicic had stretched him for five sets.  i really wanted to get off to a good start this time  and i did  and i could really play with confidence while he still looking for his rhythm   federer said.   that took me all the way through to 6-1 3-1 0-30 on his serve and i almost ran away with it. but he came back  and that was a good effort on his side.  ljubicic was at a loss to explain his poor showing in the first set.  i didn t start badly  but then suddenly i felt like my racket was loose and the balls were flying a little bit too much. and with roger  if you relax for a second it just goes very quick   he said.  after those first three games it was no match at all. i don t know  it was really weird. i was playing really well the whole year  and then suddenly i found myself in trouble just to put the ball in the court.  but despite his defeat  the world number 14 was pleased with his overall performance.  i had a chance in the third  and for me it s really positive to twice in two weeks have a chance against roger to win the match.  it s an absolutely great boost to my confidence that i m up there and belong with top-class players.
sport,calder fears for scottish rugby former scotland international finlay calder fears civil war at the sru could seriously hamper his country s rbs six nations campaign.  four members of the executive board  including the chairman  david mackay  have resigned after a simmering row. and calder said:  this is terrible news for every level of scottish rugby.  david is a successful businessman and i thought that if anybody could transform the negative atmosphere and rising debt level  it was him.  mackay s executive board has been in a power struggle with the general committee  which contains members elected by scotland s club sides.  he has been driven out by people who seem happier waging civil war than addressing the central issue that professional rugby can t be run by amateurs   said calder.   in fact  i don t understand why we are still having this argument 10 years after professionalism arrived.  but i don t believe the rest of the sru will take this lying down.  i think the banks will be dismayed at this decision and  ultimately  it is them who pull the strings.  so i wouldn t be surprised if they reviewed their position. but  in the wider picture  what message does this send out   he thought the work of scotland s coaches  who have been attempting to arrest the decline of the national side  would be made much more difficult.  matt williams and willie anderson must be wondering   what have we walked into here    said calder.  and we can now expect weeks of arguments and acrimony just at a time when we should be looking forward to the six nations championship.  i am very  very disappointed  more than you can imagine. why do so many scots have this knack of turning on each other when the going gets tough
politics,blair rejects iraq advice calls tony blair has rejected calls for the publication of advice on the legality of the iraq war amid growing calls for an investigation.  the prime minister told his monthly press conference the matter had been dealt with by the attorney general. earlier  conservative mp michael mates joined calls for a probe into claims lord goldsmith s statement to parliament was drawn up at number 10. mr blair said the statement was a  fair summary  of lord goldsmith s opinion.   that s what he (lord goldsmith) said and that s what i say. he has dealt with this time and time and time again   mr blair told his monthly news conference in downing street. he refused to answer further questions on the issue  saying it had been dealt with  literally scores of times and the position has not changed . lord goldsmith has denied being  leaned on  and says the words written were his.  the government refuses to publish his advice on the legality of the war - saying such papers have always been kept confidential. mr mates  who is a member of the commons intelligence and security committee and was part of the butler inquiry into pre-war intelligence  told the bbc on friday:  that  as a general rule  is right  but it s not an absolute rule.  he said there had been other occasions when advice had been published  most recently regarding prince charles s marriage plans. the government could not pick and choose when to use the convention  he said.  mr mates added:  we discovered that there were two or three occasions in the past when law officers  advice to the government has been published.  and this may be one of those special occasions... when it would be in the public interest to see the advice which the attorney general gave to the prime minister.  this is argument was rejected by mr blair  who said:  firstly  we haven t broken the precedent  and secondly peter goldsmith has made his statement and i have got absolutely nothing to add to it.  in a book published this week  philippe sands qc  a member of cherie blair s matrix chambers  says lord goldsmith warned tony blair on 7 march 2003 that the iraq war could be illegal without a second un resolution sanctioning military action.  but a short statement about lord goldsmith s position was presented in a written parliamentary answer on 17 march 2003 - just before a crucial commons vote on the military action. mr sands  book suggests it was actually written by home office minister lord falconer and downing street adviser baroness morgan. former minister clare short  who resigned from the government over the iraq war  said it was the same statement that was earlier shown to the cabinet as it discussed military action. she told the bbc the full advice should have been attached  according to the ministerial code.   my view is we need the house of lords to set up a special committee  summon the attorney  get all the papers out  look at exactly what happened   she said. the conservatives and liberal democrats say they want the publication of the full legal advice given by the attorney general. on thursday  lord goldsmith said his statement had not been  written by or at number 10 .  in my parliamentary answer on march 17 2003  i explained my genuinely held independent view  that military action was lawful under the existing security council resolutions   he said.
health,"victor de jesus  john wright spreading the message that people should stay at home  march 29 2020  the covid-19 outbreak has already brought a range of challenges for front line medical staff - shortages of equipment, doctors and nurses falling ill, and even thieves trying to break in and steal valuable supplies. in the first of a series of diaries, dr john wright reports on preparations at bradford royal infirmary.  following the uk-wide lockdown, the hospital followed suit in a bid to limit transmission of the coronavirus.  eighteen entrances across the 26-acre site were sealed off and everyone is now funnelled through one main door. staff must show their passes and patients are no longer allowed to bring visitors with them, even when they're coming in for cancer treatments.  but not long before millions of people across the uk stepped out of their houses and applauded nhs workers, one man carefully dressed in doctor's scrubs. he even completed his disguise with a stethoscope. he then attempted to bluff his way past a security guard, who demanded to see his pass, and when he was caught he made a run for it.   john wright  hospital scrubs are being used as disguise - so now have to be locked away  there had already been thefts of surgical gowns, masks, protective equipment and sanitisers. it's possible this man was after supplies like these, or possibly drugs. the head of the bradford hospital trust, mel pickup, has heard that there are now shortages on the streets because of the epidemic. ""people who have addictions need to feed them,"" she says. ""where do you go if you want drugs and you can't get those on the street any more?""  hospital scrubs are now having to be stored under lock and key.  front line diary   john wright  prof john wright, a medical doctor and epidemiologist, is head of the bradford institute for health research. he has looked after patients in epidemics all over the world, including cholera, hiv and ebola outbreaks in sub-saharan africa. over the next few weeks he will be reporting for the bbc on how his hospital, the bradford royal infirmary, copes with covid-19.  we know from what's been happening in italy how covid-19 is likely to affect us in bradford. multi-generational households are common in italy and also here - particularly among pakistanis, who make up just under a third of the population and are genetically predisposed to heart disease and diabetes, the very underlying health conditions that can make covid-19 particularly deadly. there are poor areas in bradford, and some white people have high levels of lung disease from smoking.  we know there is a tsunami coming.   john wright  at present there are 16 intensive care beds in the hospital and that's usually enough, but it's been projected that we could be treating 500 people at the peak of the epidemic, so we need to ramp up very quickly. a disused ward has been fitted with ventilators and other wards are being reconfigured.  dr debbie horner, in charge of covid-19 intensive care planning, says accepting the scale of what's happening has been like going through the stages of bereavement. ""initially you've got a kind of shock and then comes denial and acceptance,"" she told me. ""as an intensive care community, most of us are now in the kind of acceptance phase.""  find out more  john wright is recording from the hospital wards for bbc radio 4's nhs on the front line  you can hear the next episode at 11:00 on tuesday 31 march, catch up with the first episode online, or download the podcast  we have also been taking steps to obtain more personal protective equipment.  our stocks of surgical masks are good, but supplies of more effective ppe masks and eye-protection visors were running low. so a consultant, dr tom lawton, went to screwfix to buy industrial masks - and then found a way of attaching medical filters to them, using a 3d printer he keeps in his garage. another went to a builders' merchants and bought 2,000 pairs of goggles.   john wright  consultant tom lawton in one of his modified industrial masks  consultant anaesthetist dr michael mccooe, meanwhile, started looking into ways of sterilising masks, so they could be re-used, and called whittaker's gin distillery in the yorkshire dales. mr whittaker himself answered the phone, and said that his 96% proof gin could be diluted for the purpose.  ""he was very happy to donate to us,"" dr mccooe told me. ""he'd been looking into whether they could supply more alcohol to the health service and whether they could make hand sanitiser. it's a great step forward and now we just need somewhere safe to store it all!""  but in the last week or so, both debbie horner and michael mccooe have gone into isolation.   john wright  one of tom lawton's masks after sterilisation in alcohol from the gin distillery  debbie called me on the afternoon of friday 20 march, just before we were going to run our covid-19 case rehearsals, to say that she had some mild symptoms and was going to go home, just to be on the safe side. we haven't yet started testing staff for the virus, but given how important she was, we felt that we needed to make an exception - and so we arranged for a surreptitious visit to accident and emergency on saturday morning to swab for covid-19 and other more likely seasonal viruses.  then, on monday, our microbiologist rang to drop the bombshell: the swab had come back positive.  a day later the clinical director of urgent care, dr sam khan, started to feel unwell. and then dr michael mccooe was forced to self-isolate because his partner, another anaesthetist at the hospital, was ill. it seems likely that we were infecting one another as we planned our response to coronavirus, until we got our social distancing house in order.  if we lose many more of our senior clinical leaders at this early stage of the campaign it would be a disaster.  we have a rapidly increasing number of cases, but it still feels like the calm before the storm. and the eye of the storm will be in our intensive care unit."
health,"at 20:00 bst on thursday, households across the uk stood on their doorsteps and balconies and applauded the efforts of the nhs and care workers in treating those affected by covid-19.     the initiative was devised by annemarie plas, from brixton, south-west london, who was inspired by same event happening in her home country of the netherlands, and in many other countries.  annemarie posted details of the event on her social media channels, and enthusiasm for taking part quickly spread across the uk.  ""i hope that it creates a positive boost for those on the frontline,"" she said.  ""but also [when] you hear your neighbours applauding you know that we are together in this, because we are currently all in our houses.""  there was applause in manchester, below.           people cheered in blackpool (above) and london (below).     there was support from northampton.            pa media  residents in glasgow (above) and hove (below) showed their support.     the nhs staff at royal liverpool university hospital heard the public's appreciation and also joined in the applause.   pa media  buildings around the uk were also lit in blue - the colour of the nhs logo - to pay tribute to the work of nhs staff, including wembley park underground station, below.   pa media  the kelpies in falkirk, a metal sculpture of horse heads, was lit up in blue.   pa media  belfast city hall turned blue.   pa media  london's piccadilly circus saluted nhs heroes on its iconic massive led screen.     lincoln cathedral lit up in blue.   pa media  blackpool tower featured a blue heart.   pa media  the arch at wembley stadium in london was an arc of blue - and the stadium has promised to repeat the tribute every evening during the crisis.   pa media  all photographs subject to copyright."
sport,iranian misses israel match iranian striker vahid hashemian will not travel to israel for bayern munich s champions league match against maccabi tel aviv on wednesday.  the german club said the player had pulled out because of a back injury. iran refuses to recognise israel s right to exist and does not allow its citizens to travel to the country. a bayern spokesman said on monday that the decision not to take hashemian to israel had been motivated only by his physical condition.  he s got back pain and he couldn t train   the spokesman said.  it would have made no sense for him to go.  iran gave judo world champion arash miresmaeili a $125 000 reward when he refused to fight an israeli at the athens olympics. the international judo federation considered taking action against miresmaeili but concluded he had been overweight for the fight and could not have taken part.
sport,britain boosted by holmes double athletics fans endured a year of mixed emotions in 2004 as stunning victories went hand-in-hand with disappointing defeats and more drugs scandals.  kelly holmes finally fulfilled her potential by storming to double gold on the track at the olympic games. holmes helped erase the gloom hanging over team gb after their biggest medal hope  paula radcliffe  dropped out of the marathon and then the 10 000m. britain s men s 4x100m relay team also did their bit by taking a shock gold. holmes had started the year in disappointing style  falling over in the final of 1500m at the world indoor championships where she was favourite. her olympic build-up was clouded by self doubt but that proved unfounded as she overhauled rival maria mutola to win the 800m - her first global title. just five days later  the 34-year-old made it double gold in the 1500m. it was the first time in 84 years a briton has achieved the olympic middle-distance double. while holmes left athens as the star of team gb  it was radcliffe who carried expectations before the august games.  the 30-year-old marathon world record holder went into the athens event as favourite but an exhausted radcliffe dropped out after 23 miles in tears. her decision to enter the 10 000m five days later also backfired as she again pulled out with eight laps remaining.  but radcliffe helped put her olympic trauma behind her with a thrilling win in november s new york marathon. the 4x100m team grabbed some last-gasp glory for the british men s olympic squad after a poor start to the games.  it seemed as though athens would be the first games where the men would fail to win a medal with michael east the only individual track finalist in the 1500m. but darren campell  jason gardener  marlon devonish and mark lewis-francis made amends in the sprint relay. the quartet held off favourites the usa to win britain s first relay medal since 1912 in 38.07 seconds. gardener added the olympic relay crown to his world indoor title over 60m and  just like holmes  finally lived up to his promise in 2004. kelly sotherton completed team gb s athletics medal haul in athens with a surprise bronze in the heptathlon. the 28-year-old won her first championship medal since becoming a full-time athlete in 2003.  but it was a different story for britain s defending champion denise lewis  who withdrew on day two of the competition after some poor results. lewis  who was troubled by injury  has ruled out retiring while sotherton is tipped to build on her success. the athens olympics proved to be a landmark occasion for steve backley  who retired from competition after finishing fourth in the javelin. the battling 35-year-old leaves the sport with a vast medal haul including two silvers and one olympic bronze.  and backley s departure was balanced by the return of injury-hit decathlete dean macey  who came fourth in athens.  the continued improvement of sprinter abi oyepitan and long jumper chris tomlinson also boosted team gb. sadly  the 2004 olympics did not escape the problems of drugs misuse. on the eve of the games  greek sprinters kostas kenteris and katerina thanou missed a drugs test and claimed to have been involved in a road crash.  kenteris  the 200m champion in 2000  and thanou have since been charged by the greek authorities and await trial. at the games  adrian annus (hammer)  robert fazelas (discus) and irina korzhanenko (shot) were all stripped of their titles because of doping issues. hungarian compatriots annus and fazelas both refused to give urine samples while russian korzhanenko tested positive for the steroid stanozolol.  the fallout from the thg scandal  which rocked the sport in 2003  continued to impact in olympic year. britain s 4x100m team took gold without the services of dwain chambers  who was handed a two-year ban in february after testing positive for steroid thg.  american kelli white was suspended and stripped of her world 100m and 200m titles after failing a drugs test. and world 400m champion jerome young landed a life ban from us chiefs after a second doping offence. russian pole vaulter yelena isinbayeva provided some light relief by smashing the world record seven times on her way to the world indoor and olympic titles. her rivalry with compatriot svetlana feofanova livened up the field events. morocco s hicham el guerrouj also delighted fans by racing to a historic olympic double in the 1500m and 5 000m.  and though there was no paula radcliffe in the london marathon  there was plenty of drama as kenyans evans rutto and margaret okayo took the titles. rutto held on to win despite slipping on some cobblestones and tumbling into a barrier. okayo also had to battle back after mistiming her tactics but clinched victory on her debut.
sport,campbell to be lions consultant former government communications chief alastair campbell will act as a media consultant to sir clive woodward s 2005 lions on their tour to new zealand.  campbell  who left downing street earlier this year  will advise on media strategy before and during the tour.  i hope i can contribute to the planning and preparation  and to ensuring the media and public get the most out of the tour itself   he said.  i am also looking forward to going out for the later stages of the tour.  woodward s decision to call in prime minister tony blair s former spin doctor springs from the deterioration in media relations on the last lions tour of australia in 2001  when new zealander graham henry was the head coach. the furore surrounding the newspaper diaries of matt dawson and austin healey was compounded by other disillusioned players venting their frustration through the media.  the lions is a massive media event   said woodward  who will be the head coach.  there will be a huge level of interest from the travelling media  the fans that will go out in their thousands and the new zealand public.  we need to have the strategy and processes in place to deal with the pressures that will bring.  [alastair] will act as an advisor both in the build up to and on the tour itself. his role is to work closely with not only myself but (tour manager) bill beaumont  (media manager) louisa cheetham and (team manager) louise ramsay.  campbell is due to resume working for the government in the new year in the build-up to an anticipated may general election. the lions leave for new zealand on 24 may  with the first test match against the all blacks in christchurch on 25 june.
sport,ferdinand casts doubt over glazer rio ferdinand has said he is unsure of malcolm glazer s motives after the american billionaire launched a new offer to buy manchester united.  the club have confirmed that the glazer family partnership have submitted proposals of a third bid.  a lot of people want the club s interest to be with people who have grown up with the club and have got its interests at heart   said ferdinand.  no one knows what this guy will be bringing to the table.  the central defender added on bbc radio five live:  we will have to wait and see what glazer comes with.  i would like to see the situation resolved either way.  i think people are getting bored with him coming in and out of the news with new proposals.  the other stuff off the pitch takes the shine off what is going on the pitch.   glazer  currently owns a 28.1% stake in the club  and united s statement to the stock exchange said:  the board has noted the recent press speculation on this subject.  the board can confirm that it has now received a detailed proposal subject to various pre-conditions which may form the basis of an offer for manchester united from glazer.  a further announcement will be made in due course.  glazer s previous bids for the club  which united supporters opposed  were rejected by the board because of the high level of debt they would incur. but it is believed that glazer has substantially reduced the borrowing required for his latest move. he will still need the approval of major shareholders john magnier and jp mcmanus  who own 28.9% of the club to succeed. but the irish duo have cut off talks with glazer over the proposed sale of their stake  while fans remain opposed to his involvement.
sport,wales win in rome wales secured their first away win in the rbs six nations for nearly four years with a six-try victory in rome.  tries from jonathan thomas  tom shanklin and martyn williams gave the visitors a 19-5 half-time advantage. luciano orquera did reply with one for italy but second-half efforts from brent cockbain  shane williams and robert sidoli sealed victory. fly-half stephen jones added four conversions as wales maintained their superb start to this year s tournament. starting full of confidence after their victory over england  the visitors scored the opening try after just four minutes. diminutive wing shane williams fielded a kick ahead and danced past the onrushing andrea masi and aaron persico into the italian half. his pass to tom shanklin appeared forward but when the centre was held up short  the ball was switched left and michael owen s long cut-out pass gave the lurking thomas an easy run-in.  stephen jones  who retained the kicking duties despite gavin henson s heroics against england  slotted an excellent conversion from wide out. wales twice threatened further scores but failed to find the crucial pass  and italy hit back out of the blue in the 11th minute.  henson  sporting gold boots rather than the silver variety that did for england  beat two players with ease out on the left touchline. but his attempted chip ahead was charged down by orquera  who snaffled the loose ball and hared away from halfway to score in the right corner. with the welsh line-out stuttering and italy twice turning the visitors  scrum  the home side s forward power brought them back into it. but a clever high kick from henson almost brought a try for hal luscombe when roland de marigny and ludovico nitoglia made a hash of claiming it as the ball bounced into touch.  wales regained control with a second try in the 21st minute  henson lobbing up a high kick to the left corner where shanklin jumped higher than nitoglia to dot down his 15th test try. jones was unable to convert and de marigny then hit the upright with a penalty attempt for italy. henson was also narrowly short with a long-range effort at goal  but wales ended the half with a vital third score to give themselves some breathing space.  henson sent luscombe streaking away and when he off-loaded to martyn williams  the flanker showed his nous to ground the ball against the padding of the post  jones adding the conversion. italy  who lost flanker mauro bergamasco with a head knock before half-time  built up a head of steam on the resumption. de marigny landed a penalty to make it 19-8 and a nitoglia break through the middle threatened a try only for the move to break down with a knock-on. but wales put the outcome beyond doubt with two superb tries in four minutes before the hour. their fourth after 53 minutes was sparked by another mazy run from shane williams  who beat several players with ease  and finished with a powerful angled run from lock cockbain. before italy could recover from that blow  a strong surge from gareth thomas and great off-loads from martyn williams and replacement kevin morgan saw shane williams scamper over.  with jones converting both for a 33-8 lead  wales had the luxury of sending on five more replacements for the final quarter. the icing on the cake came with a sixth try after more superb support work  shane williams and ceri sweeney combining to send sidoli over in the left corner. the only downside for wales was a hamstring injury suffered by luscombe. but after back-to-back wins at the start of the tournament for the first time in 11 years  they will travel to paris in a fortnight looking like genuine contenders.  r de marigny; mirco bergamasco  w pozzebon  a masi  l nitoglia; l orquera  a troncon; a lo cicero  f ongaro  m castrogiovanni  s dellape  m bortolami (capt)  a persico  mauro bergamasco  s parisse.  g intoppa  s perugini  ca del fava  d dal maso  p griffen  m barbini  kp robertson.  g thomas (capt); h luscombe  t shanklin  g henson  s williams; s jones  d peel; g jenkins  m davies  a jones; b cockbain  r sidoli; j thomas  m williams  m owen.  r mcbryde  j yapp  i gough  r sowden-taylor  g cooper  c sweeney  k morgan.  andrew cole (australia).
sport,gallas sees two-horse race chelsea s william gallas believes they will battle it out with arsenal for the premiership in the coming months.   it ll be a two-horse race all the way to the end of the season because we are both going to give it everything   he told bbc sport.  you need to be good and you need a lot of luck. you need a bit of both but it will be as hard for the arsenal players as it is for the chelsea boys.   we know that we have got the power in our hands just now   added gallas.   but you never know what is going to happen in football - two seasons ago manchester united picked up so many points towards the end of the season when they won the title.  obviously  nobody at chelsea wants to come second but you never know what happens in football.  we will be challenging to come first as much as every arsenal player will be challenging to come first.  gallas has been given extra confidence by the impact manager jose mourinho has had since taking over as manager during the summer.  and the french international defender believes mourinho is perfectly suited to boss the squad of chelsea stars and says his managerial expertise will prevent any player revolt.  it s only normal when you have got a team put together of such big names that you put the finishing touch to it and the finishing touch at chelsea is a fantastic manager like mourinho   he said.  he is the icing on the cake at the club. he has this fantastic knack of thinking of everything.  another incredible quality that mourinho has is that every player  even though the fans may consider them to be a stars  within the dressing-room they are absolutely equal.  mourinho reminds everyone but he doesn t have to because he has created a wonderful atmosphere where everybody is playing and laughing every day.  it is a changed dressing-room from the atmosphere there was last year.
sport,o sullivan quick to hail italians ireland coach eddie o sullivan heaped praise on italy after seeing his side stutter to a 28-17 victory in rome.   it was a hell of a tough game   said o sullivan.  we struggled in the first half because we hadn t the football.  italy played really well. they handled the ball well in terms of kicking it  if that s not an oxymoron.  we said before the game that it might take until 10 minutes from the end for this game to be won  and that s how it turned out.  ireland struggled to cope with italy s fierce start and were indebted to skipper brian o driscoll  who set up tries for geordan murphy and peter stringer.  we had our first attack in the italian half after 22 minutes   said o sullivan.  we had a good return  with three first-half possessions in their half and we scored twice.  the second half was about spending more time in their half.  scrum-half peter stringer was also glad that ireland escaped wtih a victory.  all credit to them   he told bbc sport.  we knew it would be tough coming to rome. they always give us a tough game here and they showed a lot of spirit.  they had a lot of ball in the first half but we got a few scores when we got into their 22.
politics,brown to outline presidency goals next year will be  make or break  for development in poorer countries gordon brown will say as he sets out uk goals for its eu and g8 presidencies.  the chancellor is due to outline a series of key targets the government will be judged on in 2005. they will include doubling aid from donor countries and eliminating debt owed by the poorest nations. mr brown also wants other g8 nations to match his target for overseas aid - spending 0.7% of national income.  he also wants the richer countries to do more to help the development of vaccines for aids and malaria. the chancellor is travelling to america next week as part of his persuasion drive over the issue. he told bbc radio 4 s today programme:  we need more resources allied to progress on trade and progress on debt relief if we are going to make an impact on the problems of ill health  of illiteracy  of poverty  particularly in africa but right through the developing countries.   his proposals were effectively a new  marshall plan  for the world  including an international finance facility  which would issue bonds in an attempt to double global aid cash to $100bn a year. agreement in the doha development talks could also give developing nations the trading ability they needed  he argued. the european union s common agricultural policy had caused aggravated trade problems  he said  but there was now an agreement to end export subsidies.  mr brown said much had been achieved on issues such as debt relief in the last seven years. but with 30 000 children were dying unnecessarily every day more was needed  including 100% debt relief multilaterally.  that is why next year is a test   he said.  if after five years of making promises the world is not prepared to honour them  then people will be justified in saying they promised but they did not produce results.  the catholic aid agency cafod will host mr brown s speech on wednesday.  cafod wants britain to use its influence to pressure countries like the us to make firm commitments to tackle global poverty. mr brown said america too needed to take more action but defended president george bush for guaranteeing resources to countries which introduced reforms to tackle corruption. oxfam s paying the price report this week said 45 million children will die needlessly before 2015 and aid budgets are half their 1960 levels. the charity s director  barbara stocking  said:  2005 offers the chance for an historic breakthrough  but unless world leaders act now the year will end in shameful failure.  the report said the g8 of top industrialised nations had agreed in 1970 to spend 0.7% of their incomes on aid.  but 34 years later none of the organisations members had reached this target and many had not yet set a timetable. mr blair  who has described africa as a  scar  on the world s conscience  has already said tackling world poverty would be one his g8 priorities along with climate change and the aids epidemic. but band aid founder bob geldof in july said he was sick of hearing  guff  about scars on the world. it was pathetic that britain was the 4th richest country in the world but only the 11th most generous aid donor  he added. conservative shadow international development secretary alan duncan accused mr brown of missing his target on providing anti-retroviral drug treatment to three million africans by 2005. instead  only 500 000 people would benefit  he said.  there s no point in him demanding praise and adulation for setting a whole new raft of targets when he has so woefully failed to meet the ones he already has   added mr duncan.
